user_id,temperature,rain_chance,wind_speed,season,top_id,top_name,bottom_id,bottom_name,score
1,15.0,30.0,10.0,Wiosna/Jesień,1,Płaszcz,10,Szorty,2.48
1,15.0,30.0,10.0,Wiosna/Jesień,3,Sweter,10,Szorty,2.36
1,15.0,30.0,10.0,Wiosna/Jesień,5,T-shirt,10,Szorty,2.06
1,15.0,30.0,10.0,Wiosna/Jesień,3,Sweter,6,Szorty,1.96
1,15.0,30.0,10.0,Wiosna/Jesień,1,Płaszcz,11,Spódnica,1.88
5,15.0,30.0,10.0,Wiosna/Jesień,54,Bluza,60,Spodnie,1.5
5,15.0,30.0,10.0,Wiosna/Jesień,58,Kurtka,60,Spodnie,1.38
5,15.0,30.0,10.0,Wiosna/Jesień,54,Bluza,61,Spódnica,1.2
5,15.0,30.0,10.0,Wiosna/Jesień,54,Bluza,62,Spodnie,1.2
5,15.0,30.0,10.0,Wiosna/Jesień,58,Kurtka,59,Szorty,1.08
10,15.0,30.0,10.0,Wiosna/Jesień,130,T-shirt,132,Szorty,2.4
10,15.0,30.0,10.0,Wiosna/Jesień,129,Płaszcz,132,Szorty,2.36
10,15.0,30.0,10.0,Wiosna/Jesień,129,Płaszcz,131,Spódnica,2.26
10,15.0,30.0,10.0,Wiosna/Jesień,126,Marynarka,132,Szorty,1.76
10,15.0,30.0,10.0,Wiosna/Jesień,129,Płaszcz,137,Szorty,1.76
15,15.0,30.0,10.0,Wiosna/Jesień,196,Sweter,199,Spódnica,2.96
15,15.0,30.0,10.0,Wiosna/Jesień,202,Marynarka,199,Spódnica,2.48
15,15.0,30.0,10.0,Wiosna/Jesień,196,Sweter,201,Szorty,2.36
15,15.0,30.0,10.0,Wiosna/Jesień,205,Marynarka,199,Spódnica,2.28
15,15.0,30.0,10.0,Wiosna/Jesień,196,Sweter,197,Szorty,2.14
20,15.0,30.0,10.0,Wiosna/Jesień,272,Kurtka,278,Spódnica,2.1
20,15.0,30.0,10.0,Wiosna/Jesień,270,Marynarka,279,Spódnica,1.8
20,15.0,30.0,10.0,Wiosna/Jesień,270,Marynarka,280,Szorty,1.8
20,15.0,30.0,10.0,Wiosna/Jesień,270,Marynarka,278,Spódnica,1.68
20,15.0,30.0,10.0,Wiosna/Jesień,274,T-shirt,278,Spódnica,1.68
20,20.0,40.0,10.0,Wiosna/Jesień,272,Kurtka,278,Spódnica,2.7
20,20.0,40.0,10.0,Wiosna/Jesień,270,Marynarka,278,Spódnica,2.28
20,20.0,40.0,10.0,Wiosna/Jesień,274,T-shirt,278,Spódnica,2.28
20,20.0,40.0,10.0,Wiosna/Jesień,270,Marynarka,279,Spódnica,1.8
20,20.0,40.0,10.0,Wiosna/Jesień,270,Marynarka,280,Szorty,1.8
25,10.0,60.0,10.0,Wiosna/Jesień,345,Płaszcz,351,Spódnica,3.48
25,10.0,60.0,10.0,Wiosna/Jesień,345,Płaszcz,359,Spódnica,3.48
25,10.0,60.0,10.0,Wiosna/Jesień,347,Marynarka,351,Spódnica,3.45
25,10.0,60.0,10.0,Wiosna/Jesień,345,Płaszcz,352,Spodnie,3.26
25,10.0,60.0,10.0,Wiosna/Jesień,347,Marynarka,352,Spodnie,3.23
25,25.0,20.0,10.0,Wiosna/Jesień,349,Sweter,357,Spodnie,3.0
25,25.0,20.0,10.0,Wiosna/Jesień,349,Sweter,351,Spódnica,2.4
25,25.0,20.0,10.0,Wiosna/Jesień,346,Marynarka,357,Spodnie,2.28
25,25.0,20.0,10.0,Wiosna/Jesień,349,Sweter,356,Spodnie,2.28
25,25.0,20.0,10.0,Wiosna/Jesień,347,Marynarka,357,Spodnie,2.25
30,18.0,20.0,10.0,Wiosna/Jesień,411,Bluza,414,Szorty,1.58
30,18.0,20.0,10.0,Wiosna/Jesień,409,Płaszcz,418,Spódnica,1.2
30,18.0,20.0,10.0,Wiosna/Jesień,424,Bluza,415,Spodnie,1.2
30,18.0,20.0,10.0,Wiosna/Jesień,424,Bluza,416,Szorty,1.2
30,18.0,20.0,10.0,Wiosna/Jesień,409,Płaszcz,414,Szorty,1.16
